county_fips,state,county,status,source,established
01001,AL,Autauga County,No records,,False
01003,AL,Baldwin County,Established,ArboNET Data,True
01005,AL,Barbour County,Reported,Literature,False
01007,AL,Bibb County,Established,ArboNET Data,True
01009,AL,Blount County,Established,ArboNET Data,True
01011,AL,Bullock County,Reported,Literature,False
01013,AL,Butler County,Established,Literature,True
01015,AL,Calhoun County,Established,Literature,True
01017,AL,Chambers County,Established,Literature,True
01019,AL,Cherokee County,Reported,Literature,False
01021,AL,Chilton County,Reported,Literature,False
01023,AL,Choctaw County,Established,Literature,True
01025,AL,Clarke County,Established,Literature,True
01027,AL,Clay County,Reported,Literature,False
01029,AL,Cleburne County,Established,Literature,True
01031,AL,Coffee County,Reported,Literature,False
01033,AL,Colbert County,Established,Literature,True
01035,AL,Conecuh County,Reported,Literature,False
01037,AL,Coosa County,Established,Literature,True
01039,AL,Covington County,Reported,Literature,False
01041,AL,Crenshaw County,No records,,False
01043,AL,Cullman County,Established,Literature,True
01045,AL,Dale County,Reported,Literature,False
01047,AL,Dallas County,Established,ArboNET Data,True
01049,AL,DeKalb County,Established,Literature,True
01051,AL,Elmore County,Established,Literature,True
01053,AL,Escambia County,Established,Literature,True
01055,AL,Etowah County,No records,,False
01057,AL,Fayette County,Established,ArboNET Data,True
01059,AL,Franklin County,Reported,Literature,False
01061,AL,Geneva County,No records,,False
01063,AL,Greene County,Established,ArboNET Data,True
01065,AL,Hale County,Established,Literature,True
01067,AL,Henry County,Reported,Literature,False
01069,AL,Houston County,Established,Literature,True
01071,AL,Jackson County,Established,ArboNET Data,True
01073,AL,Jefferson County,Established,ArboNET Data,True
01075,AL,Lamar County,Established,ArboNET Data,True
01077,AL,Lauderdale County,Established,Literature,True
01079,AL,Lawrence County,Established,Literature,True
01081,AL,Lee County,Established,Literature,True
01083,AL,Limestone County,Established,ArboNET Data,True
01085,AL,Lowndes County,Reported,Literature,False
01087,AL,Macon County,Established,Literature,True
01089,AL,Madison County,Established,Literature,True
01091,AL,Marengo County,Established,ArboNET Data,True
01093,AL,Marion County,Established,Literature,True
01095,AL,Marshall County,Established,ArboNET Data,True
01097,AL,Mobile County,Reported,Literature,False
01099,AL,Monroe County,Established,ArboNET Data,True
01101,AL,Montgomery County,Reported,Literature,False
01103,AL,Morgan County,Reported,Literature,False
01105,AL,Perry County,Reported,Literature,False
01107,AL,Pickens County,Established,Literature,True
01109,AL,Pike County,No records,,False
01111,AL,Randolph County,Reported,Literature,False
01113,AL,Russell County,Established,Literature,True
01117,AL,Shelby County,Established,Literature,True
01115,AL,St. Clair County,Reported,Literature,False
01119,AL,Sumter County,Established,Literature,True
01121,AL,Talladega County,No records,,False
01123,AL,Tallapoosa County,Established,Literature,True
01125,AL,Tuscaloosa County,Established,ArboNET Data,True
01127,AL,Walker County,No records,,False
01129,AL,Washington County,Established,ArboNET Data,True
01131,AL,Wilcox County,Established,Literature,True
01133,AL,Winston County,Established,Literature,True
05001,AR,Arkansas County,Established,Literature,True
05003,AR,Ashley County,Established,Literature,True
05005,AR,Baxter County,Established,Literature,True
05007,AR,Benton County,Established,Literature,True
05009,AR,Boone County,Established,Literature,True
05011,AR,Bradley County,Established,Literature,True
05013,AR,Calhoun County,Established,Literature,True
05015,AR,Carroll County,Established,Literature,True
05017,AR,Chicot County,Established,Literature,True
05019,AR,Clark County,Established,Literature,True
05021,AR,Clay County,Established,Literature,True
05023,AR,Cleburne County,Established,Literature,True
05025,AR,Cleveland County,Established,Literature,True
05027,AR,Columbia County,Established,Literature,True
05029,AR,Conway County,Established,Literature,True
05031,AR,Craighead County,Established,Literature,True
05033,AR,Crawford County,Established,Literature,True
05035,AR,Crittenden County,No records,,False
05037,AR,Cross County,No records,,False
05039,AR,Dallas County,Established,Literature,True
05041,AR,Desha County,Established,Literature,True
05043,AR,Drew County,Established,Literature,True
05045,AR,Faulkner County,Established,Literature,True
05047,AR,Franklin County,Established,Literature,True
05049,AR,Fulton County,Established,Literature,True
05051,AR,Garland County,Established,Literature,True
05053,AR,Grant County,Established,Literature,True
05055,AR,Greene County,Established,Literature,True
05057,AR,Hempstead County,Established,Literature,True
05059,AR,Hot Spring County,Established,Literature,True
05061,AR,Howard County,Established,Literature,True
05063,AR,Independence County,Established,Literature,True
05065,AR,Izard County,Established,Literature,True
05067,AR,Jackson County,Established,Literature,True
05069,AR,Jefferson County,Established,Literature,True
05071,AR,Johnson County,Established,Literature,True
05073,AR,Lafayette County,Established,Literature,True
05075,AR,Lawrence County,Established,Literature,True
05077,AR,Lee County,Established,Literature,True
05079,AR,Lincoln County,Established,Literature,True
05081,AR,Little River County,Established,Literature,True
05083,AR,Logan County,Established,Literature,True
05085,AR,Lonoke County,Established,Literature,True
05087,AR,Madison County,Established,Literature,True
05089,AR,Marion County,Established,Literature,True
05091,AR,Miller County,Established,Literature,True
05093,AR,Mississippi County,Established,Literature,True
05095,AR,Monroe County,Established,Literature,True
05097,AR,Montgomery County,Established,Literature,True
05099,AR,Nevada County,Established,Literature,True
05101,AR,Newton County,Established,Literature,True
05103,AR,Ouachita County,Established,Literature,True
05105,AR,Perry County,Established,Literature,True
05107,AR,Phillips County,Established,Literature,True
05109,AR,Pike County,Established,Literature,True
05111,AR,Poinsett County,Established,Literature,True
05113,AR,Polk County,Established,Literature,True
05115,AR,Pope County,Established,Literature,True
05117,AR,Prairie County,Established,Literature,True
05119,AR,Pulaski County,Established,Literature,True
05121,AR,Randolph County,Established,Literature,True
05125,AR,Saline County,Established,Literature,True
05127,AR,Scott County,Established,Literature,True
05129,AR,Searcy County,Established,Literature,True
05131,AR,Sebastian County,Established,Literature,True
05133,AR,Sevier County,Established,Literature,True
05135,AR,Sharp County,Established,Literature,True
05123,AR,St.Francis County,Established,Literature,True
05137,AR,Stone County,Established,Literature,True
05139,AR,Union County,Established,Literature,True
05141,AR,Van Buren County,Established,Literature,True
05143,AR,Washington County,Established,Literature,True
05145,AR,White County,Established,Literature,True
05147,AR,Woodruff County,Established,Literature,True
05149,AR,Yell County,Established,Literature,True
04001,AZ,Apache County,No records,,False
04003,AZ,Cochise County,No records,,False
04005,AZ,Coconino County,No records,,False
04007,AZ,Gila County,No records,,False
04009,AZ,Graham County,No records,,False
04011,AZ,Greenlee County,No records,,False
04012,AZ,LaPaz County,No records,,False
04013,AZ,Maricopa County,No records,,False
04015,AZ,Mohave County,No records,,False
04017,AZ,Navajo County,No records,,False
04019,AZ,Pima County,No records,,False
04021,AZ,Pinal County,No records,,False
04023,AZ,SantaCruz County,No records,,False
04025,AZ,Yavapai County,No records,,False
04027,AZ,Yuma County,No records,,False
06001,CA,Alameda County,No records,,False
06003,CA,Alpine County,No records,,False
06005,CA,Amador County,No records,,False
06007,CA,Butte County,No records,,False
06009,CA,Calaveras County,No records,,False
06011,CA,Colusa County,No records,,False
06013,CA,Contra Costa County,No records,,False
06015,CA,DelNorte County,No records,,False
06017,CA,El Dorado County,No records,,False
06019,CA,Fresno County,No records,,False
06021,CA,Glenn County,No records,,False
06023,CA,Humboldt County,No records,,False
06025,CA,Imperial County,No records,,False
06027,CA,Inyo County,No records,,False
06029,CA,Kern County,No records,,False
06031,CA,Kings County,No records,,False
06033,CA,Lake County,No records,,False
06035,CA,Lassen County,No records,,False
06037,CA,Los Angeles County,No records,,False
06039,CA,Madera County,No records,,False
06041,CA,Marin County,No records,,False
06043,CA,Mariposa County,No records,,False
06045,CA,Mendocino County,No records,,False
06047,CA,Merced County,No records,,False
06049,CA,Modoc County,No records,,False
06051,CA,Mono County,No records,,False
06053,CA,Monterey County,No records,,False
06055,CA,Napa County,No records,,False
06057,CA,Nevada County,No records,,False
06059,CA,Orange County,No records,,False
06061,CA,Placer County,No records,,False
06063,CA,Plumas County,No records,,False
06065,CA,Riverside County,No records,,False
06067,CA,Sacramento County,No records,,False
06069,CA,San Benito County,No records,,False
06071,CA,San Bernardino County,No records,,False
06073,CA,San Diego County,No records,,False
06075,CA,San Francisco County,No records,,False
06077,CA,San Joaquin County,No records,,False
06079,CA,San Luis Obispo County,No records,,False
06081,CA,San Mateo County,No records,,False
06083,CA,Santa Barbara County,No records,,False
06085,CA,Santa Clara County,No records,,False
06087,CA,Santa Cruz County,No records,,False
06089,CA,Shasta County,No records,,False
06091,CA,Sierra County,No records,,False
06093,CA,Siskiyou County,No records,,False
06095,CA,Solano County,No records,,False
06097,CA,Sonoma County,No records,,False
06099,CA,Stanislaus County,No records,,False
06101,CA,Sutter County,No records,,False
06103,CA,Tehama County,No records,,False
06105,CA,Trinity County,No records,,False
06107,CA,Tulare County,No records,,False
06109,CA,Tuolumne County,No records,,False
06111,CA,Ventura County,No records,,False
06113,CA,Yolo County,No records,,False
06115,CA,Yuba County,No records,,False
08001,CO,Adams County,No records,,False
08003,CO,Alamosa County,No records,,False
08005,CO,Arapahoe County,No records,,False
08007,CO,Archuleta County,No records,,False
08009,CO,Baca County,No records,,False
08011,CO,Bent County,No records,,False
08013,CO,Boulder County,Reported,ArboNET Data,False
08014,CO,Broomfield County,No records,,False
08015,CO,Chaffee County,No records,,False
08017,CO,Cheyenne County,No records,,False
